playerid,namefirst,namelast
bauerha01,Hank,Bauer
bauerlo01,Lou,Bauer
bauerri01,Rick,Bauer
bauerru01,Russ,Bauers
bauertr01,Trevor,Bauer
baughju01,Justin,Baughman
baumafr01,Frank,Baumann
baumapa01,Paddy,Baumann
baumeji01,Jim,Baumer
baumgge01,George,Baumgardner
baumgha01,Harry,Baumgartner
baumgjo01,John,Baumgartner
baumgro01,Ross,Baumgarten
baumgst01,Stan,Baumgartner
baumhfr01,Frank,Baumholtz
bausege01,George,Bausewine
bautaed01,Ed,Bauta
bautida01,Danny,Bautista
bautide01,Denny,Bautista
bautijo01,Jose,Bautista
bautijo02,Jose,Bautista
baxesji01,Jim,Baxes
baxesmi01,Mike,Baxes
baxtemi01,Mike,Baxter
